User ID,Username,Fullname,Follow by you,Is verified,Profile URL,Avatar URL
56851364664,mix_n_match_design,MIX & MATCH DESIGN,NO,NO,https://www.instagram.com/mix_n_match_design,https://instagram.ftlv19-2.fna.fbcdn.net/v/t51.2885-19/321731827_1303355910442925_1701204166789719205_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftlv19-2.fna.fbcdn.net&_nc_cat=105&_nc_ohc=nTOfRcUo-YEQ7kNvgH3HEat&_nc_gid=b7aaab81a29f48908662c1efdf7836a4&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYBG6a6k-1UUp_AaGsTpx3ddztqImniJFaMeG147R6_Wpw&oe=67101206&_nc_sid=0055be
53807633797,nuka_design_il,ניוקה- עיצוב הבית | טקסטיל | מטבח | פריטי נוי | תאורה ועוד,NO,NO,https://www.instagram.com/nuka_design_il,https://instagram.ftlv19-1.fna.fbcdn.net/v/t51.2885-19/345076258_932296744686950_3473689436078403089_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftlv19-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=kc2hyKePWGwQ7kNvgE0l31p&_nc_gid=b7aaab81a29f48908662c1efdf7836a4&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYCwFE1jXfPvPO0IFfHdQWri9IowoRyuf1qwSzWfOMIoEA&oe=671001C3&_nc_sid=0055be
9352042,nicolebernardes,Ｍａｄａｍｅ Ｋｏｏｌ,NO,YES,https://www.instagram.com/nicolebernardes,https://instagram.ftlv19-2.fna.fbcdn.net/v/t51.2885-19/271344640_457173549412581_5170207539813797716_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftlv19-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=f_SIXyAAIQ4Q7kNvgF_Hq5J&_nc_gid=b7aaab81a29f48908662c1efdf7836a4&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYCiPVe-2qPAI-WT7oOsFg-ipLuLgrR4JKwDitTrR_Z5EA&oe=67102924&_nc_sid=0055be
15709098,yaelinbar,Yael Inbar 🎗️ יעל ענבר,NO,NO,https://www.instagram.com/yaelinbar,https://instagram.ftlv19-2.fna.fbcdn.net/v/t51.2885-19/90427719_2447506342227910_3040585465427132416_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftlv19-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=CLQsjJz2KgcQ7kNvgFW72e2&_nc_gid=b7aaab81a29f48908662c1efdf7836a4&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYAuG1Iykmbppk1vG1XhYr5jGlOLq5wsqsbksauY0CfQ-g&oe=671028D1&_nc_sid=0055be
54950354,estysoco,אסתי סוקו- איפור כלות| קורס איפור דיגיטלי| מוצרי איפור💄,NO,NO,https://www.instagram.com/estysoco,https://instagram.ftlv19-1.fna.fbcdn.net/v/t51.2885-19/460278781_538424698569996_4558137256703661012_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftlv19-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=WvjRJDcU9CIQ7kNvgG4CGwx&_nc_gid=b7aaab81a29f48908662c1efdf7836a4&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYBRjqMnjl53s6JOwBQwCNdlnn5b-bEKrvVbD_FaUUrTBw&oe=67102668&_nc_sid=0055be
4157490,saarpesach,Saar Pesach,NO,YES,https://www.instagram.com/saarpesach,https://instagram.ftlv19-1.fna.fbcdn.net/v/t51.2885-19/434396498_957250845909120_7985824008148566388_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftlv19-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=5bL2hDvPDqkQ7kNvgH7xiUr&_nc_gid=b7aaab81a29f48908662c1efdf7836a4&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYB03DTvMzP98azQ24dZD5As_jHx4-Xr8EmayDKHph7SQw&oe=670FF437&_nc_sid=0055be
292318725,austinkevitch,Austin Kevitch,NO,YES,https://www.instagram.com/austinkevitch,https://instagram.ftlv19-3.fna.fbcdn.net/v/t51.2885-19/454304137_2027554694306197_5046486351281795750_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftlv19-3.fna.fbcdn.net&_nc_cat=101&_nc_ohc=-86znHhNjvQQ7kNvgEsWusS&_nc_gid=b7aaab81a29f48908662c1efdf7836a4&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYDLXrZvo8pg5t-azlNil3EctbZ5TjXupqYprEafO3uLFg&oe=67101302&_nc_sid=0055be
6969181,nicolemclaughlin,nm,NO,YES,https://www.instagram.com/nicolemclaughlin,https://instagram.ftlv19-1.fna.fbcdn.net/v/t51.2885-19/66616316_947615538903864_4044121195660967936_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftlv19-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=kdh-LcjVkEgQ7kNvgFzwV-q&_nc_gid=b7aaab81a29f48908662c1efdf7836a4&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYDaU5iEDxihpwH2iZZLpe8NFsuSDowcTzp1ibi53DCLLg&oe=67100D67&_nc_sid=0055be
68604604259,la__pear,Lapear,NO,NO,https://www.instagram.com/la__pear,https://instagram.ftlv19-2.fna.fbcdn.net/v/t51.2885-19/458178383_2009033812886337_2363089513957512102_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftlv19-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=WJpF3TBU6fMQ7kNvgHKF148&_nc_gid=b7aaab81a29f48908662c1efdf7836a4&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYBgENMp9UpIG14l8pEiqm7WvC6T-L1urv418GsakE-Z5g&oe=670FF657&_nc_sid=0055be
44801723,sagie_tarot_and_dreams,"שגיא מנדלבוים | העצמה אישית, טארוט וחלומות",NO,NO,https://www.instagram.com/sagie_tarot_and_dreams,https://instagram.ftlv19-3.fna.fbcdn.net/v/t51.2885-19/279118995_3229853720671105_1473876937651640743_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftlv19-3.fna.fbcdn.net&_nc_cat=101&_nc_ohc=ZBBcBCWgzTkQ7kNvgHprZe1&_nc_gid=b7aaab81a29f48908662c1efdf7836a4&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYApLtIDm1wWPMfgI62-BGROm8nAxsPgaWieoNEvzSrnnA&oe=67101945&_nc_sid=0055be
